iter	Passed	Remaining
0	16	4914
1	32	4894
2	47	4713
3	62	4620
4	77	4587
5	91	4474
6	107	4484
7	121	4429
8	135	4391
9	149	4348
10	163	4305
11	180	4337
12	195	4314
13	211	4311
14	225	4278
15	239	4246
16	254	4235
17	269	4216
18	283	4192
19	300	4200
20	314	4177
21	329	4167
22	345	4164
23	360	4144
24	375	4131
25	391	4121
26	407	4122
27	424	4120
28	438	4097
29	453	4080
30	469	4073
31	485	4062
32	500	4053
33	515	4033
34	529	4010
35	545	4001
36	560	3985
37	576	3976
38	592	3964
39	608	3954
40	625	3949
41	640	3935
42	655	3918
43	671	3905
44	685	3883
45	700	3866
46	715	3851
47	730	3836
48	746	3823
49	762	3814
50	778	3801
51	792	3777
52	807	3765
53	821	3743
54	836	3727
55	852	3712
56	866	3695
57	881	3676
58	895	3655
59	907	3629
60	921	3611
61	935	3591
62	949	3573
63	963	3552
64	978	3538
65	993	3520
66	1005	3497
67	1019	3479
68	1036	3469
69	1050	3451
70	1064	3432
71	1079	3417
72	1093	3399
73	1106	3378
74	1120	3362
75	1133	3342
76	1147	3322
77	1161	3304
78	1174	3284
79	1190	3272
80	1204	3257
81	1219	3240
82	1233	3223
83	1248	3210
84	1259	3185
85	1273	3169
86	1287	3151
87	1301	3134
88	1315	3118
89	1328	3100
90	1345	3089
91	1358	3071
92	1371	3051
93	1384	3034
94	1398	3017
95	1411	2998
96	1423	2979
97	1437	2963
98	1450	2944
99	1464	2928
100	1477	2911
101	1492	2897
102	1506	2881
103	1519	2863
104	1533	2848
105	1546	2831
106	1561	2817
107	1574	2799
108	1588	2784
109	1602	2767
110	1614	2749
111	1626	2730
112	1640	2715
113	1653	2698
114	1666	2681
115	1681	2667
116	1694	2650
117	1707	2633
118	1721	2617
119	1734	2601
120	1747	2584
121	1760	2568
122	1772	2550
123	1785	2534
124	1797	2517
125	1813	2504
126	1827	2489
127	1842	2475
128	1855	2459
129	1869	2444
130	1883	2429
131	1897	2414
132	1912	2401
133	1925	2385
134	1939	2370
135	1953	2355
136	1968	2341
137	1981	2326
138	1996	2312
139	2011	2298
140	2025	2284
141	2040	2270
142	2054	2255
143	2068	2241
144	2082	2226
145	2097	2212
146	2111	2197
147	2125	2182
148	2139	2168
149	2155	2155
150	2170	2141
151	2186	2129
152	2201	2115
153	2216	2101
154	2230	2086
155	2245	2073
156	2260	2059
157	2275	2044
158	2289	2030
159	2305	2016
160	2317	2001
161	2332	1987
162	2347	1972
163	2361	1958
164	2375	1943
165	2390	1929
166	2405	1915
167	2420	1901
168	2435	1887
169	2449	1873
170	2465	1859
171	2479	1845
172	2495	1831
173	2509	1817
174	2525	1803
175	2538	1788
176	2554	1775
177	2569	1760
178	2583	1746
179	2599	1732
180	2613	1718
181	2628	1704
182	2642	1689
183	2655	1674
184	2670	1659
185	2684	1645
186	2698	1630
187	2712	1615
188	2726	1601
189	2739	1585
190	2752	1570
191	2765	1555
192	2778	1540
193	2791	1525
194	2804	1510
195	2817	1495
196	2830	1479
197	2843	1464
198	2857	1450
199	2869	1434
200	2883	1420
201	2896	1405
202	2910	1390
203	2921	1374
204	2933	1359
205	2946	1344
206	2961	1330
207	2974	1315
208	2986	1300
209	3000	1285
210	3014	1271
211	3028	1257
212	3042	1242
213	3056	1228
214	3070	1213
215	3082	1198
216	3096	1184
217	3108	1169
218	3120	1154
219	3132	1139
220	3144	1124
221	3157	1109
222	3170	1094
223	3183	1079
224	3196	1065
225	3208	1050
226	3221	1036
227	3233	1021
228	3248	1007
229	3261	992
230	3272	977
231	3284	962
232	3295	947
233	3307	932
234	3321	918
235	3334	904
236	3345	889
237	3359	875
238	3372	860
239	3386	846
240	3399	832
241	3413	818
242	3426	803
243	3439	789
244	3453	775
245	3468	761
246	3483	747
247	3496	733
248	3510	719
249	3524	704
250	3537	690
251	3550	676
252	3563	662
253	3577	647
254	3590	633
255	3602	619
256	3616	605
257	3629	590
258	3643	576
259	3656	562
260	3669	548
261	3683	534
262	3697	520
263	3710	505
264	3725	492
265	3739	477
266	3753	463
267	3767	449
268	3780	435
269	3794	421
270	3807	407
271	3821	393
272	3834	379
273	3847	365
274	3860	350
275	3874	336
276	3887	322
277	3900	308
278	3914	294
279	3928	280
280	3942	266
281	3956	252
282	3969	238
283	3984	224
284	3998	210
285	4013	196
286	4028	182
287	4042	168
288	4057	154
289	4070	140
290	4083	126
291	4098	112
292	4112	98
293	4126	84
294	4141	70
295	4155	56
296	4170	42
297	4185	28
298	4199	14
299	4214	0
